address,price,details,bedrooms,bathrooms,category,city
"5289 Highway 7 #B202, Vaughan, ON L4L 8P7",718000.0,2 bds2 ba- Townhouse for sale,2.0,2.0,Townhouse,Vaughan
"29 Pinewood Dr, Vaughan, ON L4J 5P4",2288000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"82 Westolivia Trl, Vaughan, ON L4J 0C1",999800.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"223 Kayla Cres, Vaughan, ON L6A 3P3",1118000.0,4 bds3 ba- House for sale,4.0,3.0,House,Vaughan
"544 Mactier Dr, Vaughan, ON L4H 4T9",1728880.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"108 Sunset Ter, Vaughan, ON L4H 4S2",1128888.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"23 Siena Dr, Vaughan, ON L4H 3K2",1779999.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"27 Glenheron Cres, Vaughan, ON L6A 0G2",2368000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"950 Portage Pkwy #612, Vaughan, ON L4K 3Y8",819000.0,3 bds2 ba- Condo for sale,3.0,2.0,Condo,Vaughan
"2910 Highway 7 Rd W #704, Vaughan, ON L4K 0G3",799000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"84 Kingsview Dr, Vaughan, ON L4H 3A2",1428000.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"329 Via Romano Blvd, Vaughan, ON L6A 0J3",1758900.0,6 bds4 ba- House for sale,6.0,4.0,House,Vaughan
"37 Big Hill Cres, Vaughan, ON L6A 4S1",1120000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"9672 Keele St, Vaughan, ON L6A 3Y6",1790000.0,3 bds2 ba- House for sale,3.0,2.0,House,Vaughan
"29 Strong Ave, Vaughan, ON L6A 4X2",2299000.0,6 bds5 ba- House for sale,6.0,5.0,House,Vaughan
"116 Renaissance Ct, Vaughan, ON L4J 7W4",3999000.0,5 bds6 ba- House for sale,5.0,6.0,House,Vaughan
"80 Modesto Gdns, Vaughan, ON L4L 8E1",2799000.0,5 bds6 ba- House for sale,5.0,6.0,House,Vaughan
"112 Peak Point Blvd, Vaughan, ON L6A 0C1",1095000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"333 Clark Ave W #516, Vaughan, ON L4J 7K4",1280000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"22 Chaya Sara Gdns, Vaughan, ON L6A 0Z6",2638800.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"146 Simmons St, Vaughan, ON L4H 4X7",1699900.0,1 bd1 ba- House for sale,1.0,1.0,House,Vaughan
"137 Moraine Hill Dr, Vaughan, ON L6A 4P7",2179900.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"950 Portage Pkwy #3812, Vaughan, ON L4K 0J3",639900.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"124 Franklin Ave, Vaughan, ON L4J 4X6",2367000.0,5 bds5 ba- House for sale,5.0,5.0,House,Vaughan
"369 Melville Ave, Vaughan, ON L6A 2N8",1799999.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"9500 Highway 27 Rd, Vaughan, ON L0G 1C0",3290000.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"9235 Jane St UNIT 1401, Vaughan, ON L6A 0J8",1050000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"20 Modesto Gdns, Vaughan, ON L4L 8V2",1868800.0,4 bds4 ba- Condo for sale,4.0,4.0,Condo,Vaughan
"4 Longbridge Rd, Vaughan, ON L4J 1L5",3800000.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"33 Kaia Ct, Vaughan, ON L6A 4T9",3588000.0,5 bds7 ba- House for sale,5.0,7.0,House,Vaughan
"218 Arnold Ave, Vaughan, ON L4J 1B9",3699000.0,5 bds8 ba- House for sale,5.0,8.0,House,Vaughan
"38 Riverside Blvd, Vaughan, ON L4J 1H3",5288000.0,5 bds5 ba- House for sale,5.0,5.0,House,Vaughan
"9720 Keele St, Vaughan, ON L6A 3Y6",1369000.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"7730 Kipling Ave #310, Vaughan, ON L4L 1Y9",629900.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"139 Cooks Mill Cres, Vaughan, ON L6A 0L1",3488800.0,5 bds7 ba- House for sale,5.0,7.0,House,Vaughan
"87 Via Toscana Dr, Vaughan, ON L4H 3V4",1099000.0,4 bds3 ba- House for sale,4.0,3.0,House,Vaughan
"74 Swinton Cres, Vaughan, ON L4J 3V5",1058888.0,4 bds2 ba- House for sale,4.0,2.0,House,Vaughan
