address,price,details
"668 Eglinton Ave E, Toronto, ON M4G 2K4","C$1,850,000",3 bds2 ba- House for sale
"525 Adelaide St W #620, Toronto, ON M5V 0N7","C$599,900",1 bd1 ba- Condo for sale
"189 Queen St E #3, Toronto, ON M5A 1S2","C$1,596,000",1 bd2 ba- Condo for sale
"72 Seminole Ave, Toronto, ON M1J 1N4","C$1,049,000",3 bds2 ba- House for sale
"30 Meadowglen Pl #318, Toronto, ON M1G 0A6","C$449,900",1 bd1 ba- Condo for sale
"77 Harbour Sq #3112, Toronto, ON M5J 2S2","C$1,495,000",2 bds2 ba- Condo for sale
"3121 Sheppard Ave E #332, Toronto, ON M1T 0B6","C$574,999",2 bds2 ba- Condo for sale
"556 Palmerston Ave, Toronto, ON M6G 2P7","C$2,250,000",3 bds2 ba- House for sale
"554 Palmerston Ave, Toronto, ON M6G 2P7","C$1,975,000",3 bds2 ba- House for sale
"362 The East Mall #1802, Toronto, ON M9B 6C4","C$534,900",2 bds2 ba- Condo for sale
"767 Cummer Ave, Toronto, ON M2H 1E8","C$1,299,900",4 bds4 ba- House for sale
"6 Eva Rd #310, Toronto, ON M9C 0B1","C$759,900",2 bds2 ba- Condo for sale
"10 Colinayre Cres, Toronto, ON M1T 3A8","C$1,118,000",4 bds3 ba- House for sale
"700 Humberwood Blvd #2131, Toronto, ON M9W 7J4","C$459,000",1 bd1 ba- Condo for sale
"3500 Brimley Rd #20, Toronto, ON M1V 5K6","C$799,000",4 bds2 ba- Condo for sale
"3420 Eglinton Ave #505, Toronto, ON M1J 2H9","C$495,000",3 bds2 ba- Condo for sale
"15 Aldershot Cres, Toronto, ON M2P 1L7","C$2,099,000",3 bds2 ba- House for sale
"15 Yorkview Dr, Toronto, ON M2N 2R9","C$3,388,800",5 bds6 ba- House for sale
"525 Wilson Ave #747, Toronto, ON M3H 0A7","C$729,000",2 bds2 ba- Condo for sale
"274 Havelock St, Toronto, ON M6H 3B9","C$1,498,000",6 bds3 ba- House for sale
"5500 Yonge St #1210, Toronto, ON M2N 7L1","C$689,800",2 bds2 ba- Condo for sale
"19 Duxbury Dr, Toronto, ON M1V 5H1","C$998,000",6 bds4 ba- House for sale
"84 Morningview Trl, Toronto, ON M1B 5B1","C$1,098,800",5 bds4 ba- House for sale
"121 Mcmahon Dr #2908, Toronto, ON M2K 0C1","C$799,000",2 bds2 ba- Condo for sale
"151 Dan Leckie Way #2505, Toronto, ON M5V 4B2","C$620,000",2 bds1 ba- Condo for sale
"7 Cornelius Pkwy, Toronto, ON M6L 2K2","C$1,299,900",4 bds2 ba- House for sale
"32 Gardiner Rd, Toronto, ON M5P 3B5","C$3,100,000",4 bds4 ba- House for sale
"154 Winston Park Blvd, Toronto, ON M3K 1C5","C$749,000",3 bds2 ba- House for sale
"4 Conland Ave, Toronto, ON M6A 2R9","C$2,088,888","4 bds4 ba2,480 sqft- House for sale"
"38 Dan Leckie Way #707, Toronto, ON M5V 2V6","C$849,900",2 bds2 ba899 sqft- Condo for sale
"141 Coxwell Ave, Toronto, ON M4L 3B4","C$1,100,000","3 bds2 ba1,550 sqft- House for sale"
"24 Noble St #108, Toronto, ON M6K 2C8","C$689,000",1 bd1 ba725 sqft- Condo for sale
"382 Brooke Ave, Toronto, ON M5M 2L6","C$2,000,000","4 bds2 ba1,400 sqft- House for sale"
"22 Finchley Rd, Toronto, ON M9A 2X5","C$2,995,000",4 bds4 ba- House for sale
"50 Ordnance St #1984, Toronto, ON M6K 0C9","C$549,800",1 bd1 ba551 sqft- New construction
"2119 Lakeshore Blvd W #109, Toronto, ON M8V 4E8","C$799,900",2 bds2 ba- Condo for sale
"38 Avenue Rd #112, Toronto, ON M5R 2G2","C$3,199,000","2 bds3 ba2,425 sqft- Townhouse for sale"
"89 Stavely Cres, Toronto, ON M9W 2C6","C$1,499,900","5 bds5 ba2,600 sqft- House for sale"
"380 Dixon Rd #602, Toronto, ON M9R 1T3","C$409,900",2 bds1 ba900 sqft- Condo for sale
"441 Jarvis St, Toronto, ON M4Y 2G8","C$8,500,000","Studio4 ba4,600 sqft- House for sale"
"142 Browns Line, Toronto, ON M8W 3T2","C$1,250,000","7 bds3 ba2,817 sqft- House for sale"
"124 Foch Ave, Toronto, ON M8W 3Y3","C$1,260,000","4 bds2 ba2,000 sqft- House for sale"
"556 Palmerston Ave #554, Toronto, ON M6G 2P7","C$4,180,000",6 bds3 ba- House for sale
"200 Mclevin Ave UNIT 29, Toronto, ON M1B 6C9","C$489,900",2 bds1 ba- Townhouse for sale
"22 Olive Ave #301, Toronto, ON M2N 7G6","C$589,990",1 bd1 ba- Condo for sale
"2220 Lakeshore Blvd W #1202, Toronto, ON M8V 0C1","C$699,900",2 bds2 ba- Condo for sale
"3865 Lake Shore Blvd W #809, Toronto, ON M8W 0A2","C$750,000",2 bds2 ba- Condo for sale
"27 Yvonne Ave, Toronto, ON M3L 1C8","C$799,000",3 bds2 ba- House for sale
"138 Plumrose Ptwy #17, Toronto, ON M1B 4B4","C$749,999",4 bds3 ba- House for sale
"71 Citadel Dr, Toronto, ON M1K 4S3","C$1,299,000",3 bds4 ba- House for sale
"421 Royal York Rd, Toronto, ON M8Y 2R8","C$944,000",3 bds2 ba- House for sale
"28 Wellesley St E, Toronto, ON M4Y 0C4","C$100,000","Studio-- ba2,842 sqft- Condo for sale"
"1485 Birchmount Rd #104, Toronto, ON M1P 0C7","C$629,000",3 bds2 ba- Condo for sale
"2059 Weston Rd #33, Toronto, ON M9N 1X7","C$779,000",3 bds3 ba- Townhouse for sale
"1001 Bay St #2315, Toronto, ON M5S 3A6","C$1,099,888","2 bds2 ba1,150 sqft- Condo for sale"
"11 Saint Joseph St #1208, Toronto, ON M4Y 3G4","C$648,000",1 bd1 ba- Condo for sale
"430 Mclevin Ave #412, Toronto, ON M1B 5P1","C$554,900",2 bds2 ba- Condo for sale
"124 Aerodrome Cres #202, Toronto, ON M4G 4J2","C$799,900",2 bds2 ba- Townhouse for sale
"28 Ignatius Ln, Toronto, ON M1E 0A3","C$734,000",3 bds4 ba- Townhouse for sale
"499 Keele St, Toronto, ON M6N 3E1","C$799,000",3 bds3 ba- House for sale
"2800 Keele St #421, Toronto, ON M3M 0B8","C$488,800",1 bd1 ba- Condo for sale
"72 Longbow Sq, Toronto, ON M1W 2W7","C$1,198,888",4 bds4 ba- House for sale
"16 Harbour St #5102, Toronto, ON M5J 2Z7","C$1,849,000",3 bds3 ba- Condo for sale
"73 Mccowan Rd, Toronto, ON M1M 3M3","C$1,200,000",5 bds2 ba- House for sale
"5 Hanna Ave #323, Toronto, ON M6K 0B3","C$629,900",1 bd2 ba- Condo for sale
"251 Jarvis St #1508, Toronto, ON M5B 0C3","C$499,900",1 bd1 ba- Condo for sale
"111 Bathurst St #812, Toronto, ON M5V 0M9","C$598,888",1 bd1 ba- Condo for sale
"160 Frederick St #207, Toronto, ON M5A 4H9","C$2,599,990",3 bds3 ba- Condo for sale
"16 Dunsmore Gdns, Toronto, ON M3H 3M2","C$2,998,000",4 bds6 ba- House for sale
"61 Dane Ave, Toronto, ON M6A 1G4","C$3,688,000",5 bds6 ba- House for sale
"200 Bloor St W #3105, Toronto, ON M5S 0B1","C$950,000",1 bd2 ba- Condo for sale
"2200 Lakeshore Blvd W #709, Toronto, ON M8V 1A4","C$605,000",2 bds1 ba- Condo for sale
"38 Kenaston Gdns #GV202, Toronto, ON M2K 1G8","C$788,800",2 bds2 ba- Condo for sale
"177 Finch Ave E, Toronto, ON M2N 4R8","C$1,088,000",3 bds3 ba- Townhouse for sale
"10 Yonge St PENTHOUSE 10, Toronto, ON M5E 1R4","C$749,000",2 bds1 ba- Condo for sale
"59 Lesmount Ave, Toronto, ON M4J 3V7","C$2,077,000",5 bds5 ba- House for sale
"191 Parkside Dr, Toronto, ON M6R 2Z1","C$2,488,000",7 bds5 ba- House for sale
"228 Bonis Ave #503, Toronto, ON M1T 3W4","C$638,000",3 bds2 ba- Condo for sale
"30 Herons Hill Way #2310, Toronto, ON M2J 0A7","C$680,000",3 bds2 ba- Condo for sale
"389 Winnett Ave, Toronto, ON M6C 3M2","C$1,490,000",3 bds5 ba- House for sale
"10 York St #4305, Toronto, ON M5J 0E1","C$1,199,800","2 bds2 ba4,800 sqft- Condo for sale"
"1413 Bloor St W, Toronto, ON M6P 3L4","C$1,980,000",6 bds4 ba- House for sale
"1 Dunblaine Ave, Toronto, ON M5M 2R6","C$3,599,900",4 bds5 ba- House for sale
"73 Prosperity Ptwy, Toronto, ON M1B 4G9","C$795,000",4 bds4 ba- House for sale
"633 Bay St #2316, Toronto, ON M5G 2G4","C$809,900",2 bds2 ba- Condo for sale
"237 Manning Ave, Toronto, ON M6J 2K8","C$2,299,999",9 bds6 ba- House for sale
"25 Grenville St #1507, Toronto, ON M4Y 2X5","C$650,000",2 bds1 ba- Condo for sale
"48 Rosemount Dr, Toronto, ON M1K 2W9","C$999,000",3 bds3 ba- House for sale
"2212 Lake Shore Blvd W UNIT 3808, Toronto, ON M8V 0C2","C$725,000",2 bds2 ba- Condo for sale
"151 Village Green Sq #906, Toronto, ON M1S 0K5","C$628,000",3 bds2 ba- Condo for sale
"1 Sylvestre Sq, Toronto, ON M1W 3V1","C$1,190,000",6 bds6 ba- House for sale
"8 The Esplanade #2806, Toronto, ON M5E 0A6","C$779,000",2 bds1 ba- Condo for sale
"68 Merton St #806, Toronto, ON M4S 0A7","C$599,000",1 bd1 ba- Condo for sale
"162 Aldercrest Rd, Toronto, ON M8W 4J3","C$1,298,800",4 bds4 ba- House for sale
"760 Lawrence Ave W #87, Toronto, ON M6A 3E7","C$699,000",3 bds3 ba- Condo for sale
"10 Queens Quay W #1512, Toronto, ON M5J 2R9","C$679,000",1 bd1 ba- Condo for sale
"88 Alton Tower Cir #302, Toronto, ON M1V 5C5","C$499,900",2 bds1 ba- Condo for sale
"150 Homewood Ave #L109, Toronto, ON M4Y 2J6","C$699,000",1 bd2 ba- Townhouse for sale
"25 Thistletown Blvd, Toronto, ON M9V 4A6","C$699,000",5 bds4 ba- Condo for sale
"The Tamarack Plan, Parkside Towns At Saturday In Downsview Park","C$979,990+","4 bds3 ba1,524 sqft- New construction"
"1 Leila Ln #1209, Toronto, ON M6A 2M7","C$468,000",1 bd1 ba- Condo for sale
"10 Valdor Dr, Toronto, ON M1V 1R4","C$950,000",6 bds3 ba- House for sale
"54 Quietbrook Cres, Toronto, ON M1X 2B3","C$1,059,000",5 bds4 ba- House for sale
"4673 Jane St #318, Toronto, ON M3N 2L1","C$192,000",2 bds1 ba- Condo for sale
"525 Adelaide St W #620, Toronto, ON M5V 0N7","C$599,900",2 bds1 ba- Condo for sale
"10 Glenroy Ave, Toronto, ON M8Y 2M1","C$2,298,000",3 bds4 ba- House for sale
"499 Keele St, Toronto, ON M6N 3E1","C$799,000",4 bds3 ba- House for sale
"124 Homewood Ave, Toronto, ON M2M 1K3","C$1,688,000",7 bds3 ba- House for sale
"4978 Yonge St #3101, Toronto, ON M2N 7G8","C$632,800",1 bd1 ba- Condo for sale
"75 Markham St #11, Toronto, ON M6J 2G4","C$1,199,900",1 bd2 ba- Condo for sale
"104 Havendale Rd, Toronto, ON M1S 1E5","C$2,580,000",4 bds5 ba- House for sale
"107 Otonabee Ave, Toronto, ON M2M 2S7","C$3,288,000",4 bds5 ba- House for sale
"501 Saint Clair Ave W #1408, Toronto, ON M5P 0A2","C$699,000",1 bd1 ba- Condo for sale
"1621 Village Green Sq #135, Toronto, ON M1S 0L2","C$515,000",1 bd1 ba- Condo for sale
"1 Massey Sq #1410, Toronto, ON M4C 5L4","C$549,000",3 bds2 ba- Condo for sale
"5 Rowntree Rd #809, Toronto, ON M9V 5G9","C$544,900",2 bds2 ba- Condo for sale
"The Willow Plan, Parkside Towns At Saturday In Downsview Park","C$799,990+","3 bds3 ba1,134 sqft- New construction"
"90 Wingarden Ct W #190, Toronto, ON M1B 2K3","C$599,000",3 bds2 ba- Townhouse for sale
"9 Havenlea Rd, Toronto, ON M1X 1S6","C$859,000",3 bds4 ba- House for sale
"33 Ferguson St, Toronto, ON M1L 0C9","C$939,999",3 bds3 ba- Townhouse for sale
"5 Whitelock Cres, Toronto, ON M2K 1V9","C$1,990,000",3 bds2 ba- House for sale
"125 Redpath Ave #2712, Toronto, ON M4S 0B5","C$479,000",Studio1 ba- Condo for sale
"199 Richmond St W #2010, Toronto, ON M5V 0H4","C$749,900",2 bds1 ba- Condo for sale
"2550 Lawrence Ave #1402, Toronto, ON M1P 4Z3","C$539,000",2 bds2 ba- Condo for sale
"17 Anndale Dr #2310, Toronto, ON M2N 2W7","C$589,000",1 bd1 ba- Condo for sale
"6 Muskox Dr, Toronto, ON M1B 6E9","C$1,149,900",4 bds4 ba- House for sale
"234 A Albion Rd #304, Toronto, ON M9W 6A5","C$499,900",3 bds2 ba- Condo for sale
"106 Dovercourt Rd #411, Toronto, ON M6J 0G4","C$738,000",2 bds2 ba- Condo for sale
"96 Dunraven Dr, Toronto, ON M6M 1H3","C$1,050,000",3 bds2 ba- House for sale
"25 Ritchie Ave #111, Toronto, ON M6R 2J6","C$1,090,000",2 bds2 ba- Condo for sale
"45 Cedarcroft Blvd #3, Toronto, ON M2R 3Y2","C$599,000",3 bds3 ba- Townhouse for sale
"18 Denver Cres, Toronto, ON M2J 1G7","C$2,490,000",5 bds4 ba- House for sale
"365 Church St #612, Toronto, ON M5B 0B5","C$959,000",3 bds2 ba- Condo for sale
"279 Lappin Ave, Toronto, ON M6H 1Y9","C$919,999",2 bds2 ba- Townhouse for sale
"1 A Palace Pier Ct #2706, Toronto, ON M8V 3W9","C$1,599,900",2 bds3 ba- Condo for sale
"25 Fontenay Ct #808, Toronto, ON M9A 0C4","C$849,800",2 bds2 ba- Condo for sale
"50 Shirley St, Toronto, ON M6K 1T1","C$1,550,000",4 bds3 ba- House for sale
"83 Montressor Dr, Toronto, ON M2P 1Z3","C$2,480,000",4 bds5 ba- House for sale
"9 Burnhamthorpe Cres #316, Toronto, ON M9A 0A6","C$499,900",1 bd1 ba- Condo for sale
"10 Queens Quay W #1204, Toronto, ON M5J 2R9","C$999,990",2 bds2 ba- Condo for sale
"599 Sammon Ave, Toronto, ON M4C 2E1","C$989,000",3 bds3 ba- House for sale
"24 Fieldway Rd UNIT 19, Toronto, ON M8Z 0E3","C$579,000",1 bd1 ba694 sqft- Townhouse for sale
"38 Ascot Ave, Toronto, ON M6E 1E7","C$1,999,900",4 bds5 ba- House for sale
"585 Bloor St E #1603, Toronto, ON M4X 1N5","C$880,000",2 bds2 ba- Condo for sale
"665 Kennedy Rd #510, Toronto, ON M1K 5E2","C$419,900",3 bds2 ba- Condo for sale
"3231 Eglinton Ave #507, Toronto, ON M1J 3N5","C$399,900",1 bd1 ba- Condo for sale
"34 A Raven Rd, Toronto, ON M6L 2A7","C$1,788,000",4 bds5 ba- House for sale
"55 Bremner Blvd #2311, Toronto, ON M5J 0A6","C$629,000",1 bd1 ba- Condo for sale
"20 Joe Shuster Way #622, Toronto, ON M6K 0A3","C$599,900",2 bds2 ba- Condo for sale
"104 Holmes Ave, Toronto, ON M2N 4M4","C$2,050,000",4 bds4 ba- House for sale
"30 Canterbury Pl #1210, Toronto, ON M2N 0B9","C$549,000",1 bd2 ba- Condo for sale
"55 Regent Park Blvd #512, Toronto, ON M5A 0C2","C$599,000",1 bd1 ba- Condo for sale
"100 Silver Birch Ave, Toronto, ON M4E 3L4","C$1,745,000",4 bds3 ba- House for sale
"60 Colborne St #1905, Toronto, ON M5E 0B7","C$499,000",Studio1 ba- Condo for sale
"140 Simcoe St #1220, Toronto, ON M5H 4E9","C$590,000",1 bd1 ba- Condo for sale
"183 Beech Ave, Toronto, ON M4E 3H8","C$1,660,000",3 bds3 ba- House for sale
"44 Fairfield Rd, Toronto, ON M4P 1T1","C$1,649,000",3 bds2 ba- House for sale
"39 Transwell Ave, Toronto, ON M2R 2J9","C$1,350,000",3 bds2 ba- House for sale
"31 Felan Cres, Toronto, ON M9V 3A2","C$798,800",4 bds2 ba- House for sale
"9 Danjohn Cres, Toronto, ON M1V 3N2","C$799,000",3 bds2 ba- House for sale
"478 King St W #608, Toronto, ON M5V 0A8","C$899,000",2 bds2 ba- Condo for sale
"170 Chiltern Hill Rd UNIT 410, Toronto, ON M6C 0A9","C$599,000",1 bd1 ba- Condo for sale
"215 Wynford Dr #701, Toronto, ON M3C 3P5","C$820,000",2 bds3 ba- Condo for sale
"11 Charlotte St #410, Toronto, ON M5V 0M6","C$548,000",1 bd1 ba- Condo for sale
"203 Caledonia Rd, Toronto, ON M6E 4S9","C$799,000",3 bds2 ba- House for sale
"50 Forest Manor Rd #1111, Toronto, ON M2J 0E3","C$599,000",1 bd2 ba- Condo for sale
"68 Roseglen Cres, Toronto, ON M3N 1G6","C$988,000",4 bds3 ba- House for sale
"9 Mabelle Ave #2023, Toronto, ON M9A 0E1","C$749,900",3 bds2 ba- Condo for sale
"1 King St W #821, Toronto, ON M5H 1A1","C$349,000",Studio1 ba- Condo for sale
"5 A York Ave, Toronto, ON M6N 2V1","C$840,000",3 bds2 ba- House for sale
"16 Brookers Ln #2801, Toronto, ON M8V 0A5","C$499,000",1 bd1 ba- Condo for sale
"11 Superior Ave #611, Toronto, ON M8V 0A7","C$529,999",1 bd1 ba- Condo for sale
"19 Singer Ct #519, Toronto, ON M2K 0B2","C$599,000",2 bds2 ba- Condo for sale
"1 Rowntree Rd, Toronto, ON M9V 5G7","C$569,000","3 bds2 ba1,806 sqft- Condo for sale"
"564 Dufferin St, Toronto, ON M6K 2A9","C$1,399,000",9 bds2 ba- House for sale
"35 Hollywood Ave #511, Toronto, ON M2N 0A9","C$639,900",2 bds2 ba- Condo for sale
"50 Forest Manor Rd #811, Toronto, ON M2J 0E3","C$599,000",1 bd2 ba- Condo for sale
"521 Browns Line, Toronto, ON M8W 3V1","C$1,649,000",5 bds3 ba- House for sale
"190 Manitoba St #505, Toronto, ON M8Y 3Y8","C$678,000",2 bds2 ba- Condo for sale
"62 Golfview Ave, Toronto, ON M4E 2K2","C$989,000",2 bds2 ba- House for sale
"25 London Green Ct #25, Toronto, ON M3N 1K3","C$749,999",4 bds2 ba- Townhouse for sale
"25 Town Centre Ct UNIT 1903, Toronto, ON M1P 0B4","C$524,000",1 bd1 ba- Condo for sale
"13 Brentwood Ave, Toronto, ON M2N 2L6","C$3,250,000",4 bds5 ba- House for sale
"1 Rean Dr #812, Toronto, ON M2K 3C1","C$649,000",2 bds2 ba- Condo for sale
"18 Spring Garden Ave #3509, Toronto, ON M2N 7M2","C$459,900",1 bd1 ba- Condo for sale
"3668 Saint Clair Ave E, Toronto, ON M1M 1T2","C$798,000",4 bds4 ba- Townhouse for sale
"480 Queens Quay W #806W, Toronto, ON M5V 2Y5","C$2,427,000",3 bds3 ba- Condo for sale
"70 Annie Craig Dr #805, Toronto, ON M8V 0G2","C$739,900",1 bd2 ba- Condo for sale
"70 Annie Craig Dr #4409, Toronto, ON M8V 0G2","C$789,900",1 bd2 ba- Condo for sale
"32 Davenport Rd #707, Toronto, ON M5R 0B5","C$1,158,888",2 bds2 ba- Condo for sale
"399 Connaught Ave, Toronto, ON M2R 2M1","C$2,798,888",4 bds5 ba- House for sale
"80 Cumberland St S #204, Toronto, ON M5R 3V1","C$1,499,000",2 bds2 ba- Condo for sale
"52 Reindeer Dr, Toronto, ON M1B 6H5","C$789,000",3 bds3 ba- Townhouse for sale
"67 Trailview Ter, Toronto, ON M1B 6H5","C$799,900",3 bds3 ba- Townhouse for sale
"375 King St W #1408, Toronto, ON M5V 1K5","C$585,000",1 bd1 ba- Condo for sale
"26 Norton Ave #407, Toronto, ON M2N 0H6","C$811,100",2 bds2 ba- Condo for sale
"167 Gledhill Ave, Toronto, ON M4C 5K9","C$899,900",3 bds2 ba- House for sale
"627 The West Mall #1504, Toronto, ON M9C 4X5","C$599,999",3 bds2 ba- Condo for sale
"83 Billings Ave, Toronto, ON M4L 2S3","C$1,199,999","4 bds2 ba1,085 sqft- House for sale"
"521 Rogers Rd, Toronto, ON M6M 1B4","C$899,000",4 bds3 ba- House for sale
"555 Donlands Ave, Toronto, ON M4J 3S4","C$1,199,000",3 bds4 ba- House for sale
"7 B Ventnor Ave, Toronto, ON M4C 2Z6","C$1,199,000",3 bds3 ba- House for sale
"156 Thistle Down Blvd, Toronto, ON M9V 1K1","C$1,419,000",4 bds2 ba- House for sale
"41 Howarth Ave, Toronto, ON M1R 1H3","C$1,929,000",4 bds5 ba- House for sale
"35 Hollywood Ave #1809, Toronto, ON M2N 0A9","C$768,000",2 bds2 ba- Condo for sale
"20 Richardson St #919, Toronto, ON M5A 0S6","C$1,049,900",2 bds2 ba- Condo for sale
"29 Fundy Bay Blvd #45, Toronto, ON M1W 3A2","C$829,990",3 bds2 ba- Townhouse for sale
"384 Rimilton Ave, Toronto, ON M8W 2G2","C$1,399,500",3 bds1 ba- House for sale
"101 Charles St E #710, Toronto, ON M4Y 0A9","C$909,000",2 bds2 ba- Condo for sale
"148 Iribelle Ave, Oshawa, ON L1L 0E2","C$750,000",3 bds3 ba- Townhouse for sale
"1056 Stone Cottage Cres, Oshawa, ON L1K 1Z4","C$1,299,888",4 bds5 ba- House for sale
"1939 Riverton St, Oshawa, ON L1K 0P6","C$899,000",4 bds3 ba- House for sale
"1800 Simcoe St N #415, Oshawa, ON L1G 0C2","C$399,900",3 bds3 ba- Condo for sale
"1824 Douglas Langtree Dr, Oshawa, ON L1K 0Y3","C$1,250,000",4 bds4 ba- House for sale
"510 Thornton Rd, Oshawa, ON L1J 6T6","C$1,299,000",6 bds5 ba- House for sale
"222 Pearson St #47, Oshawa, ON L1G 7C6","C$499,900",4 bds2 ba- Townhouse for sale
"71 Norland Cir, Oshawa, ON L1L 0A7","C$899,900",4 bds3 ba- House for sale
"1337 Margate Dr, Oshawa, ON L1K 2S5","C$750,000",4 bds4 ba- House for sale
"111 Oshawa Blvd S, Oshawa, ON L1H 5R4","C$425,000",4 bds2 ba- House for sale
"620 Somerville Ave, Oshawa, ON L1G 4J1","C$599,900",2 bds1 ba- House for sale
"1557 Clearbrook Dr, Oshawa, ON L1K 2P6","C$1,199,000",4 bds4 ba- House for sale
"1900 Simcoe St N #515, Oshawa, ON L1G 0C1","C$214,000",Studio1 ba- Condo for sale
"465 Humewood Ave, Oshawa, ON L1G 2V1","C$599,900",3 bds2 ba- House for sale
"519 Falconridge Dr, Oshawa, ON L1K 0C1","C$799,000",3 bds4 ba- House for sale
"952 Townline Rd S, Oshawa, ON L1H 0A4","C$649,000",4 bds4 ba- House for sale
"1112 Oshawa Blvd N, Oshawa, ON L1G 5W1","C$775,000",5 bds4 ba- House for sale
"953 Gentry Cres, Oshawa, ON L1K 1L6","C$499,900",3 bds2 ba- House for sale
"116 Seneca Ave, Oshawa, ON L1G 3V4","C$629,000",3 bds2 ba- House for sale
"970 Lavender Ct, Oshawa, ON L1G 3H1","C$899,900",4 bds3 ba- House for sale
"1455 Ritson Rd S, Oshawa, ON L1J 7M3","C$549,999",2 bds2 ba- House for sale
"47 Filly Path #462, Oshawa, ON L1L 0K8","C$649,900",4 bds3 ba- Townhouse for sale
"1150 Ormond Dr, Oshawa, ON L1K 2T4","C$649,900",3 bds4 ba- Townhouse for sale
"1696 Woodgate Trl, Oshawa, ON L1G 8B4","C$649,000",3 bds3 ba- Townhouse for sale
"284 Dover St, Oshawa, ON L1G 6G6","C$699,999",3 bds2 ba- House for sale
"509 Grenfell St, Oshawa, ON L1J 4W8","C$549,900",3 bds2 ba- House for sale
"650 Dorchester Dr, Oshawa, ON L1J 6L5","C$540,000",3 bds2 ba- House for sale
"2478 Bromus Path, Oshawa, ON L1L 0K7","C$699,900",4 bds3 ba- Townhouse for sale
"610 Braemor Ct, Oshawa, ON L1J 2X8","C$799,000",3 bds3 ba- House for sale
"892 Mount Allan Ave, Oshawa, ON L1J 8K3","C$879,999",4 bds4 ba- House for sale
"955 Eagle Ridge Dr, Oshawa, ON L1K 2Z9","C$1,499,500",4 bds3 ba- House for sale
"372 Calvert Ct, Oshawa, ON L1J 6X7","C$550,000",3 bds2 ba- House for sale
"1900 Simcoe St N #612, Oshawa, ON L1G 0C1","C$235,000",Studio1 ba- Condo for sale
"1979 Arborwood Dr, Oshawa, ON L1K 0V2","C$999,900",4 bds4 ba- House for sale
"43 Great Gabe Cres, Oshawa, ON L1L 0G6","C$599,000",2 bds2 ba- Townhouse for sale
"167 Quetico Ct, Oshawa, ON L1J 1E7","C$599,900",4 bds2 ba- House for sale
"2524 Secreto Dr, Oshawa, ON L1L 0H7","C$799,000",3 bds3 ba- House for sale
"1721 Radcliffe Dr, Oshawa, ON L1K 2T1","C$699,900",3 bds4 ba- House for sale
"294 Burk St, Oshawa, ON L1J 4C4","C$550,000",3 bds2 ba- House for sale
"608 Lakeview Ave, Oshawa, ON L1J 1B1","C$499,000",3 bds2 ba- House for sale
"301 Albert St, Oshawa, ON L1H 4R9","C$375,000",3 bds1 ba- House for sale
"483 Grenfell St, Oshawa, ON L1J 4W8","C$499,900",3 bds2 ba- House for sale
"395 Windfields Farm Dr W, Oshawa, ON L1L 0M2","C$1,199,880",4 bds7 ba- House for sale
"2205 Chevron Prince Path, Oshawa, ON L1L 0K9","C$649,000",4 bds3 ba- Townhouse for sale
"589 Lancelot Cres, Oshawa, ON L1K 1J9","C$574,900",3 bds2 ba- House for sale
"2545 Craftsman Dr N, Oshawa, ON L1L 0M4","C$998,000",4 bds4 ba- House for sale
"1400 Trowbridge Dr, Oshawa, ON L1G 7R7","C$618,000",3 bds2 ba- House for sale
"220 Ormond Dr #4, Oshawa, ON L1G 6T5","C$399,900",3 bds2 ba- Townhouse for sale
"1589 Sarasota Cres, Oshawa, ON L1G 8G1","C$749,000",3 bds3 ba- House for sale
"315 Poplar St, Oshawa, ON L1H 6P6","C$699,900",3 bds2 ba- House for sale
"1720 Simcoe St N #1, Oshawa, ON L1G 0C3","C$439,800",3 bds3 ba- Townhouse for sale
"384 Arctic Red Dr #37, Oshawa, ON L1L 0M5","C$679,990",3 bds3 ba- Townhouse for sale
"256 Guelph St, Oshawa, ON L1H 6J4","C$619,000",2 bds2 ba- House for sale
"493 Park Rd S, Oshawa, ON L1J 4J4","C$849,000",4 bds4 ba- House for sale
"2131 Bridle Rd, Oshawa, ON L1L 0A5","C$1,399,800",5 bds5 ba- House for sale
"2498 Bridle Rd, Oshawa, ON L1L 0J9","C$1,099,900",4 bds3 ba- House for sale
"1900 Simcoe St N #821, Oshawa, ON L1G 0C1","C$224,900",Studio1 ba- Condo for sale
"643 Hortop St, Oshawa, ON L1G 4N4","C$599,000",3 bds2 ba- House for sale
"162 Iribelle Ave, Oshawa, ON L1L 0E2","C$699,000",3 bds3 ba- House for sale
"1133 Ritson Rd N #131, Oshawa, ON L1G 7T3","C$549,800",3 bds2 ba- Condo for sale
"1756 Grandview St N, Oshawa, ON L1K 0X4","C$1,275,000",5 bds5 ba- House for sale
"1900 Simcoe St N #731, Oshawa, ON L1G 0C1","C$249,000",Studio1 ba- Condo for sale
"1138 Timberland Cres, Oshawa, ON L1K 2K8","C$764,900",3 bds2 ba- House for sale
"1441 Woodstream Ave, Oshawa, ON L1K 0W9","C$1,299,000",4 bds5 ba- House for sale
"611 Galahad Dr #62, Oshawa, ON L1K 1M1","C$599,000",3 bds1 ba- Condo for sale
"1221 Grandview St N, Oshawa, ON L1K 2S9","C$1,250,000",4 bds4 ba- House for sale
"16 Hill Rise Ct #2500, Oshawa, ON L1L 0J5","C$528,000",2 bds2 ba- Condo for sale
"1062 Beatrice St E, Oshawa, ON L1K 2K5","C$769,900",3 bds3 ba- House for sale
